country,capital,population
Germany,Berlin,83783942
France,Paris,65273511
Italy,Rome,60317116
Spain,Madrid,47351567
Poland,Warsaw,38386000
Netherlands,Amsterdam,17407585
Belgium,Brussels,11555997
Sweden,Stockholm,10353442
Austria,Vienna,8917205
Switzerland,Bern,8654622
Norway,Oslo,5421241
Denmark,Copenhagen,5831404
Finland,Helsinki,5540720
Czech Republic,Prague,10708981
Hungary,Budapest,9684679
Portugal,Lisbon,10196709
Greece,Athens,10423054
Ireland,Dublin,5029139
Slovakia,Bratislava,5460100
Croatia,Zagreb,4047200
