ID,Title,Release Date,Run Time,Genre,Director,Studio,Country,Language,Certificate,Budget,Box Office,Nominations,Oscar Wins,Profit,Success
3,King Kong,2005-12-14,187,Adventure,Peter Jackson,WingNut Films,New Zealand,English,12A,207000000.0,550500000.0,4,3,343500000.0,Hit
5,Superman Returns,2006-07-14,154,Action,Bryan Singer,Legendary Pictures,United States,English,12A,204000000.0,391081192.0,1,0,187081192.0,Hit
6,Titanic,1998-01-23,194,Romance,James Cameron,20th Century Fox,United States,English,12,200000000.0,2186772302.0,14,11,1986772302.0,Hit
9,Pearl Harbor,2001-05-21,183,War,Michael Bay,Touchstone Pictures,United States,English,12,140000000.0,449220945.0,4,1,309220945.0,Hit
14,Pirates of the Caribbean: At World's End,2007-05-25,168,Adventure,Gore Verbinski,Walt Disney Pictures,United States,English,12A,300000000.0,963420425.0,2,0,663420425.0,Hit
17,Troy,2004-05-14,162,Adventure,Wolfgang Peterson,Helena Productions,United States,English,15,175000000.0,497409852.0,1,0,322409852.0,Hit
18,Harry Potter and the Goblet of Fire,2005-11-06,156,Fantasy,Mike Newell,Heyday Films,United Kingdom,English,12A,150000000.0,896911078.0,1,0,746911078.0,Hit
21,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,151,Adventure,Gore Verbinski,Walt Disney Pictures,United States,English,12A,225000000.0,1066179725.0,4,1,841179725.0,Hit
24,Armageddon,1998-07-01,151,Science Fiction,Michael Bay,Touchstone Pictures,United States,English,12,140000000.0,553709788.0,4,0,413709788.0,Hit
38,Harry Potter and the Philosopher's Stone,2001-11-16,152,Fantasy,Chris Columbus,Heyday Films,United Kingdom,English,PG,125000000.0,974800000.0,3,0,849800000.0,Hit
41,The Last Samurai,2003-12-05,154,Adventure,Edward Zwick,Radar Pictures,United States,English,15,140000000.0,456758981.0,4,0,316758981.0,Hit
57,The Aviator,2004-12-25,170,Biography,Martin Scorsese,Forward Pass,United States,English,12A,110000000.0,214608827.0,11,5,104608827.0,Hit
58,Ali,2001-12-25,157,Biography,Michael Mann,Peters Entertainment,United States,English,15,107000000.0,87713825.0,0,0,-19286175.0,Flop
59,The Lord of the Rings: Fellowship of the Ring,2001-12-19,178,Fantasy,Peter Jackson,WingNut Films,New Zealand,English,PG,93000000.0,871530324.0,13,4,778530324.0,Hit
65,Harry Potter and the Chamber of Secrets,2002-11-15,155,Fantasy,Chris Columbus,Heyday Films,United Kingdom,English,PG,100000000.0,878979634.0,0,0,778979634.0,Hit
66,American Gangster,2007-11-16,158,Biography,Ridley Scott,Imagine Entertainment,United States,English,18,100000000.0,266465037.0,2,0,166465037.0,Hit
68,Gladiator,2000-05-05,155,Adventure,Ridley Scott,Scott Free Productions,United States,English,15,103000000.0,457600000.0,12,5,354600000.0,Hit
70,Gangs of New York,2002-12-20,160,Drama,Martin Scorsese,Touchstone Pictures,United States,English,18,97000000.0,193772504.0,10,0,96772504.0,Flop
73,The Lord of the Rings: Return of the King,2003-12-17,201,Fantasy,Peter Jackson,WingNut Films,New Zealand,English,12A,94000000.0,1119929521.0,11,11,1025929521.0,Hit
74,The Lord of the Rings: The Two Towers,2002-12-18,179,Fantasy,Peter Jackson,WingNut Films,New Zealand,English,12A,94000000.0,926047111.0,6,2,832047111.0,Hit
78,The Departed,2006-10-06,151,Thriller,Martin Scorsese,Warner Bros. Pictures,United States,English,18,90000000.0,289847354.0,5,4,199847354.0,Hit
92,Munich,2005-12-23,163,Drama,Steven Spielberg,Amblin Entertainment,United States,English,15,77000000.0,130358911.0,5,0,53358911.0,Flop
101,Braveheart,1995-05-24,177,History,Mel Gibson,Icon Productions,United States,English,15,72000000.0,210409945.0,10,5,138409945.0,Hit
114,Saving Private Ryan,1998-07-24,170,War,Steven Spielberg,Amblin Entertainment,United States,English,15,70000000.0,481840909.0,11,5,411840909.0,Hit
141,Casino,1996-02-23,178,Crime,Martin Scorsese,Universal Pictures,United States,English,18,50000000.0,116112375.0,1,0,66112375.0,Flop
142,Robin Hood: Prince of Thieves,1991-06-14,155,Adventure,Kevin Reynolds,Morgan Creek Productions,United States,English,PG,48000000.0,390493908.0,1,0,342493908.0,Hit
169,The Assassination of Jesse James by the Coward Robert Ford,2007-09-21,159,Western,Andrew Dominik,Virtual Studios,United States,English,15,30000000.0,15000000.0,2,0,-15000000.0,Flop
188,Schindler's List,1993-12-15,197,History,Steven Spielberg,Amblin Entertainment,United States,English,15,22000000.0,321200000.0,12,7,299200000.0,Hit
190,Scarface,1983-12-09,170,Crime,Brian De Palma,Universal Pictures,United States,English,18,25000000.0,65900000.0,0,0,40900000.0,Flop
194,Gandhi,1982-12-02,188,Biography,Richard Attenborough,Goldcrest Films,United Kingdom,English,PG,22000000.0,52767889.0,11,8,30767889.0,Flop
200,Dances with Wolves,1990-10-19,180,Western,Kevin Costner,Tig Productions,United States,English,15,2000000.0,424208848.0,12,7,422208848.0,Hit
223,Downfall,2004-09-16,155,War,Oliver Hirschbiegel,Newmarket Capital Group,Germany,German,15,13500000.0,72649179.0,1,0,59149179.0,Flop
237,Pulp Fiction,1994-10-14,154,Crime,Quentin Tarantino,A Band Apart,United States,English,18,8500000.0,213900000.0,7,1,205400000.0,Hit
246,Around the World in 80 Days,1956-10-17,183,Adventure,Michael Anderson,United Artists,United States,English,U,6000000.0,42000000.0,8,5,36000000.0,Flop
260,Seven Samurai,1954-04-26,207,Action,Akira Kurosawa,Toho Company,Japan,Japanese,PG,2000000.0,4500000.0,2,0,2500000.0,Flop
